元号	元号（読み）	改元	（西暦）
明治	めいじ	慶応4年9月8日	（1868年10月23日）
慶応	けいおう	元治2年4月7日	（1865年5月1日）
元治	げんじ	文久4年2月20日	（1864年3月27日）
文久	ぶんきゅう	万延2年2月19日	（1861年3月29日）
万延	まんえん	安政7年3月18日	（1860年4月8日）
安政	あんせい	嘉永7年11月27日	（1855年1月15日）
嘉永	かえい	弘化5年2月28日	（1848年4月1日）
弘化	こうか	天保15年12月2日	（1845年1月9日）
天保	てんぽう	文政13年12月10日	（1831年1月23日）
文政	ぶんせい	文化15年4月22日	（1818年5月26日）
文化	ぶんか	享和4年2月11日	（1804年3月22日）
享和	きょうわ	寛政13年2月5日	（1801年3月19日）
寛政	かんせい	天明9年1月25日	（1789年2月19日）
天明	てんめい	安永10年4月2日	（1781年4月25日）
安永	あんえい	明和9年11月16日	（1772年12月10日）
明和	めいわ	宝暦14年6月2日	（1764年6月30日）
宝暦	ほうれき	寛延4年10月27日	（1751年12月14日）
寛延	かんえん	延享5年7月12日	（1748年8月5日）
延享	えんきょう	寛保4年2月21日	（1744年4月3日）
寛保	かんぽう	元文6年2月27日	（1741年4月12日）
元文	げんぶん	享保21年4月28日	（1736年6月7日）
享保	きょうほう	正徳6年6月22日	（1716年8月9日）
正徳	しょうとく	宝永8年4月25日	（1711年6月11日）
宝永	ほうえい	元禄17年3月13日	（1704年4月16日）
元禄	げんろく	貞享5年9月30日	（1688年10月23日）
貞享	じょうきょう	天和4年2月21日	（1684年4月5日）
天和	てんな	延宝9年9月29日	（1681年11月9日）
延宝	えんぽう	寛文13年9月21日	（1673年10月30日）
寛文	かんぶん	万治4年4月25日	（1661年5月23日）
万治	まんじ	明暦4年7月23日	（1658年8月21日）
明暦	めいれき	承応4年4月13日	（1655年5月18日）
承応	じょうおう	慶安5年9月18日	（1652年10月20日）
慶安	けいあん	正保5年2月15日	（1648年4月7日）
正保	しょうほう	寛永21年12月16日	（1645年1月13日）
寛永	かんえい	元和10年2月30日	（1624年4月17日）
元和	げんな	慶長20年7月13日	（1615年9月5日）
慶長	けいちょう	文禄5年10月27日	（1596年12月16日）
文禄	ぶんろく	天正20年12月8日	（1593年1月10日）
天正	てんしょう	元亀4年7月28日	（1573年8月25日）
元亀	げんき	永禄13年4月23日	（1570年5月27日）
永禄	えいろく	弘治4年2月28日	（1558年3月18日）
弘治	こうじ	天文24年10月23日	（1555年11月7日）
天文	てんぶん	享禄5年7月29日	（1532年8月29日）
享禄	きょうろく	大永8年8月20日	（1528年9月3日）
大永	たいえい	永正18年8月23日	（1521年9月23日）
永正	えいしょう	文亀4年2月30日	（1504年3月16日）
文亀	ぶんき	明応10年2月29日	（1501年3月18日）
明応	めいおう	延徳4年7月19日	（1492年8月12日）
延徳	えんとく	長享3年8月21日	（1489年9月16日）
長享	ちょうきょう	文明19年7月20日	（1487年8月9日）
文明	ぶんめい	応仁3年4月28日	（1469年6月8日）
応仁	おうにん	文正2年3月5日	（1467年4月9日）
文正	ぶんしょう	寛正7年2月28日	（1466年3月14日）
寛正	かんしょう	長禄4年12月21日	（1461年2月1日）
長禄	ちょうろく	康正3年9月28日	（1457年10月16日）
康正	こうしょう	享徳4年7月25日	（1455年9月6日）
享徳	きょうとく	宝徳4年7月25日	（1452年8月10日）
宝徳	ほうとく	文安6年7月28日	（1449年8月16日）
文安	ぶんあん	嘉吉4年2月5日	（1444年2月23日）
嘉吉	かきつ	永享13年2月17日	（1441年3月10日）
永享	えいきょう	正長2年9月5日	（1429年10月3日）
正長	しょうちょう	応永35年4月27日	（1428年6月10日）
応永	おうえい	明徳5年7月5日	（1394年8月2日）
